Date,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134
1999-01-01,282.0132141113281,287.34234619140625,285.0533752441406,284.9986267089844,1.1227641105651855,284.1763610839844,286.0082473754883,-0.12747577,-0.5997718,283.2528381347656,287.6889343261719,285.91864013671875,285.9035186767578,1.0409660339355469,285.16973876953125,286.83275604248047,-0.2501458,-0.80475956,284.2082824707031,288.6549377441406,286.7569885253906,286.8546447753906,1.1025513410568235,285.8313903808594,287.6900634765625,-0.35307837,-0.84550357,286.6292419433594,291.196533203125,288.7883605957031,288.7162628173828,1.1752320528030396,287.84120178222656,289.6440124511719,0.14992899,-0.77181935,289.5062561035156,296.32000732421875,292.8315124511719,292.89239501953125,1.316167235374451,291.9754409790039,293.7281799316406,-0.13926363,-0.049273618,294.210205078125,301.1195068359375,297.13543701171875,297.2467803955078,1.485396385192871,296.0149383544922,298.16805267333984,-0.050729353,-0.40058205,290.5834350585937,293.9427490234375,292.4455871582031,292.4107666015625,0.8227418661117554,291.8674774169922,293.176513671875,-0.15041253,-0.8247892,296.890625,302.41656494140625,300.1166687011719,300.1259765625,1.10598623752594,299.6349411010742,300.7947692871094,-0.7061987,0.8295007,303.3909606933594,312.7255859375,309.4792785644531,309.58116149902344,1.7868616580963137,308.8921432495117,310.5549011230469,-1.0549783,1.4379816,92979.6875,97723.4375,95660.078125,95925.0625,1543.465087890625,94919.125,96642.75,-0.5322558,-0.95943254,93095.3125,97821.03125,95761.25,96010.3515625,1538.255126953125,94998.6796875,96737.4765625,-0.52929014,-0.9655437,93118.1875,97950.6875,95839.671875,96102.6875,1541.094970703125,95054.90625,96833.703125,-0.5296322,-0.96438056,0.1821136474609375,0.258392333984375,0.2119381874799728,0.206085205078125,0.0250322688370943,0.2004165649414062,0.2196006774902343,0.66647214,-0.8727971,0.1821861267089843,0.2597808837890625,0.2124175429344177,0.2064456939697265,0.0249757431447505,0.2011289596557617,0.2207393646240234,0.6762691,-0.85973406,0.1822662353515625,0.261260986328125,0.2128989994525909,0.206756591796875,0.024929841980338,0.2018547058105468,0.2218971252441406,0.68503106,-0.8379891
1999-02-01,279.690673828125,288.7528991699219,285.9590148925781,286.25196838378906,2.0017659664154053,284.8326187133789,287.44659423828125,-1.0000918,0.9005393,281.8708190917969,288.89825439453125,286.6673278808594,286.94493103027344,1.6414546966552734,285.7413635253906,287.88919830322266,-0.9218707,0.41535103,283.52764892578125,289.3638916015625,287.4297790527344,287.75303649902344,1.3163135051727295,286.71569061279297,288.4595413208008,-0.8706114,0.21805982,286.548828125,291.78729248046875,289.7328491210937,289.92311096191406,1.0249453783035278,289.17193603515625,290.49217224121094,-0.6998449,0.6849858,290.4562072753906,296.125,293.4798889160156,293.6765594482422,1.0668712854385376,292.94373321533203,294.1009063720703,-0.51517797,0.573412,293.4681701660156,302.1627197265625,298.1015625,298.12213134765625,1.3868218660354614,297.5253219604492,298.916015625,-0.6914959,3.2909079,290.9891357421875,294.7343139648437,292.8271484375,292.905029296875,0.8517000675201416,292.38824462890625,293.3251724243164,-0.36180392,-0.024254337,297.253662109375,301.61151123046875,300.1107788085937,300.2254943847656,0.7838014364242554,299.7555847167969,300.5871276855469,-1.2016565,2.6309223,303.5247802734375,312.63653564453125,309.6670227050781,309.74383544921875,1.4854873418807983,309.1378936767578,310.2749481201172,-1.5492486,5.161559,93043.75,97625.875,95611.5859375,95920.5625,1531.1142578125,94957.90625,96589.96875,-0.5404581,-0.9693799,93173.90625,97751.03125,95729.125,96031.015625,1528.601806640625,95062.2109375,96714.5,-0.5375009,-0.9739727,93253.625,97882.1875,95835.2421875,96135.90625,1531.0711669921875,95140.59375,96823.53125,-0.5372861,-0.9731403,0.18206787109375,0.25164794921875,0.2109181582927703,0.2056350708007812,0.0249956771731376,0.1991729736328125,0.2176284790039062,0.64771146,-0.89375955,0.1821365356445312,0.2518463134765625,0.2110198587179184,0.2056865692138672,0.0249873846769332,0.1993408203125,0.2178802490234375,0.64737064,-0.8937461,0.1822052001953125,0.252532958984375,0.2111271470785141,0.2057647705078125,0.0249781440943479,0.1995811462402343,0.2182159423828125,0.64778507,-0.893245
1999-03-01,277.31707763671875,288.7469177246094,284.0157775878906,284.17774963378906,2.1524782180786133,282.69285583496094,285.40826416015625,-0.38326323,0.44988662,279.1429443359375,289.29400634765625,284.870849609375,284.90940856933594,1.8421263694763184,283.7659606933594,285.98754119873047,-0.30336884,0.6219886,281.3704833984375,290.0101928710937,285.8480224609375,285.8682556152344,1.4959121942520142,285.01163482666016,286.8149185180664,-0.12755924,0.93669367,282.3378601074219,290.0316772460937,287.67095947265625,288.026123046875,1.5156679153442385,286.8098449707031,288.6703491210937,-1.0338464,1.3265029,286.8540344238281,293.3441162109375,291.20220947265625,291.3533630371094,1.2490055561065674,290.6270217895508,292.1249694824219,-1.0463867,1.3995517,289.3275756835937,298.2806091308594,295.56378173828125,295.5715026855469,1.586155891418457,294.8584747314453,296.69466400146484,-1.3187908,3.1065125,286.5531005859375,293.1845092773437,289.42999267578125,289.4093322753906,1.3674962520599363,288.3596420288086,290.35459899902344,0.34362742,-0.086098604,293.1551513671875,298.5277709960937,295.84576416015625,295.7008056640625,1.2147777080535889,295.0242614746094,296.85777282714844,0.22666585,-0.5805499,297.4654541015625,308.9355163574219,304.2776184082031,304.34837341308594,2.075596809387207,302.8336639404297,305.7527847290039,-0.28992707,0.7015209,93009.8125,97672.3125,95657.5078125,95913.875,1539.1783447265625,94938.234375,96612.328125,-0.538414,-0.96834403,93125.5,97817.0,95766.890625,96038.75,1540.4254150390625,95035.8125,96748.3125,-0.5356451,-0.96930665,93209.75,98050.75,95860.734375,96186.96875,1544.2911376953125,95142.25,96931.5,-0.5329313,-0.96550465,0.1829071044921875,0.3889312744140625,0.2405858188867569,0.2252655029296875,0.0436096116900444,0.2080497741699218,0.2698211669921875,0.98524374,0.5744567,0.1830558776855468,0.4046630859375,0.2476966679096222,0.2306385040283203,0.0495476685464382,0.2121858596801757,0.2767190933227539,0.99446154,0.46035236,0.1832122802734375,0.4405364990234375,0.2530978918075561,0.2370758056640625,0.0547926612198352,0.2138328552246093,0.2815666198730469,1.130924,0.92429763
1999-04-01,269.853759765625,285.7685546875,281.71099853515625,282.17901611328125,2.8514420986175537,280.6376342773437,283.5001602172852,-1.8588929,4.9523106,273.9717712402344,286.2459411621094,283.0603332519531,283.3719482421875,2.081862688064575,282.3290557861328,284.50538635253906,-1.7718081,5.141317,278.820068359375,287.16278076171875,284.6029052734375,284.9562530517578,1.4557297229766846,283.658447265625,285.6802062988281,-0.98126996,1.5454937,283.994140625,289.6430969238281,286.7669372558594,286.67291259765625,1.2609524726867676,285.7427062988281,287.6407012939453,0.22169217,-0.5794325,286.2454528808594,294.4288330078125,290.2161865234375,289.7034454345703,1.5953465700149536,289.1036148071289,291.38844299316406,0.45285213,-0.31547055,287.745849609375,300.2353820800781,294.0091857910156,293.5424346923828,2.255267858505249,292.5826644897461,295.3251724243164,0.42124444,0.82353204,284.30816650390625,289.5572509765625,286.8438720703125,286.7206115722656,1.2614116668701172,285.8351745605469,287.49424743652344,0.34020722,-0.60901684,289.6015014648437,294.6409912109375,292.611328125,292.72369384765625,1.0928183794021606,291.98252868652344,293.3096923828125,-0.3491815,-0.2567381,294.4096069335937,305.1739501953125,300.49041748046875,300.5717468261719,2.156745433807373,299.26416015625,302.0570678710937,-0.50651526,0.0005809953,93080.25,97913.75,95814.28125,96072.78125,1548.203125,95001.125,96806.375,-0.53316694,-0.95929974,93132.296875,98044.265625,95911.2734375,96201.1328125,1549.6385498046875,95097.2890625,96914.3359375,-0.5338007,-0.959395,93156.5,98213.375,96007.703125,96324.9375,1555.9708251953125,95181.703125,97062.984375,-0.53249,-0.9522326,0.18426513671875,0.3956298828125,0.2425019592046737,0.2226104736328125,0.0476397648453712,0.2103309631347656,0.26739501953125,1.0381732,0.5204823,0.1845779418945312,0.4083404541015625,0.2476625442504882,0.2273426055908203,0.051495648920536,0.2114009857177734,0.2766971588134765,0.9884414,0.27960518,0.1847991943359375,0.4305877685546875,0.2525904476642608,0.233306884765625,0.0575791448354721,0.2120475769042968,0.279144287109375,1.1256691,0.60895044
1999-05-01,272.05908203125,285.32049560546875,281.005859375,281.1816711425781,2.69463324546814,279.63153076171875,282.8739318847656,-0.93455106,1.1621621,277.7315673828125,286.1649169921875,282.7334899902344,282.7338562011719,1.727762222290039,281.36446380615234,284.1751403808594,-0.2113504,-0.4731574,279.8964233398437,286.6679382324219,284.0563659667969,284.39259338378906,1.6087379455566406,283.1859664916992,285.27246856689453,-0.6692643,-0.24528708,279.5922241210937,288.43634033203125,284.7449645996094,285.1764831542969,1.8860933780670168,283.58135986328125,286.1689224243164,-0.6922236,-0.25470337,282.5921936035156,291.92822265625,287.7453308105469,287.8603057861328,1.8362981081008911,286.8724594116211,288.9590072631836,-0.4655052,0.29275453,284.7316589355469,297.08624267578125,291.129638671875,291.1973419189453,2.451547384262085,290.0272827148437,292.48656463623047,-0.39173055,0.20161258,280.31109619140625,288.5998229980469,284.6311950683594,284.63507080078125,1.7259209156036377,283.4300537109375,285.7347946166992,-0.04825973,-0.18255271,284.0093688964844,291.4609375,288.8345031738281,289.3762512207031,1.8767906427383425,287.6810302734375,290.1500244140625,-0.88920885,-0.114289135,285.9524841308594,298.91180419921875,295.2434387207031,296.0364990234375,2.857242584228516,294.4109191894531,296.97351837158203,-1.4962201,1.8880978,92993.8125,97994.9375,95911.234375,96155.15625,1556.3231201171875,95016.59375,96852.15625,-0.5354136,-0.9562689,93182.359375,98339.640625,96033.0546875,96290.0703125,1564.1248779296875,95256.8671875,97163.5703125,-0.5332968,-0.9487224,93298.5625,98505.5625,96140.453125,96436.8125,1572.128173828125,95393.3125,97315.5625,-0.5296742,-0.9406501,0.19305419921875,0.4312591552734375,0.2633348405361175,0.2446517944335937,0.0569498315453529,0.2225341796875,0.2836647033691406,1.1173011,0.5287907,0.1932754516601562,0.4537010192871094,0.267236977815628,0.2526817321777344,0.0595920532941818,0.2237892150878906,0.2864999771118164,1.1644188,0.7461868,0.19354248046875,0.4853973388671875,0.2712626159191131,0.2567291259765625,0.0633595213294029,0.2246170043945312,0.2927284240722656,1.2228724,1.016871
1999-06-01,268.4417724609375,283.8860168457031,278.6275939941406,279.33673095703125,3.1035375595092773,276.5426025390625,280.91429138183594,-0.99529666,1.0302756,274.468017578125,284.11639404296875,280.78924560546875,281.2127380371094,2.1159932613372803,279.759391784668,282.29332733154297,-1.0687879,0.7516826,276.47393798828125,285.1938171386719,282.5297241210937,282.82008361816406,1.7971235513687134,281.65191650390625,283.80464935302734,-1.1452671,1.1426848,277.8143310546875,285.52593994140625,282.9765014648437,283.2415313720703,1.622164607048035,282.0404052734375,284.2194061279297,-0.7454101,0.27640378,282.57940673828125,287.9249267578125,285.5953674316406,285.619140625,1.191662073135376,284.7696075439453,286.4528121948242,-0.16732173,-0.5618435,283.8627319335937,292.6337280273437,288.6922607421875,289.10475158691406,1.9208582639694207,287.0891799926758,290.2174453735352,-0.20435067,-0.85594285,278.76641845703125,285.059814453125,281.9312438964844,282.11346435546875,1.5394688844680786,280.73004150390625,283.12469482421875,-0.20767845,-0.8396278,282.8425598144531,288.0122375488281,285.2514038085937,285.0693054199219,1.1825848817825315,284.3257598876953,286.2520904541016,0.36772507,-0.8293318,284.5535888671875,293.9215087890625,290.6591186523437,290.8220672607422,2.1244139671325684,289.33329010009766,292.20094299316406,-0.753192,0.13151877,93138.125,98363.125,95956.8203125,96218.15625,1573.0911865234375,95231.640625,97172.671875,-0.5338545,-0.9441085,93253.46875,98449.109375,96093.4140625,96384.3984375,1575.7808837890625,95322.12890625,97250.57421875,-0.5349224,-0.9456727,93345.5625,98600.875,96233.078125,96515.59375,1583.4158935546875,95431.890625,97389.046875,-0.5338583,-0.9367254,0.2384796142578125,0.4650421142578125,0.3088616728782654,0.302337646484375,0.0507373698055744,0.2740478515625,0.3302116394042969,1.4472973,2.1113923,0.2399139404296875,0.4784164428710937,0.3141785264015198,0.3044567108154297,0.0565142817795276,0.2763528823852539,0.3335208892822265,1.5096172,1.8554871,0.2411346435546875,0.5091552734375,0.3191650509834289,0.30694580078125,0.0625895708799362,0.2782402038574219,0.3362274169921875,1.7223651,2.533958
1999-07-01,266.113525390625,281.3168334960937,275.087646484375,275.3759155273437,3.4647130966186523,272.6688461303711,277.8174133300781,-0.49543983,-0.13854463,270.3030700683594,281.9158935546875,278.3074035644531,278.88499450683594,2.4371352195739746,276.88191986083984,279.99024200439453,-0.93454826,0.67788327,272.6776733398437,284.84625244140625,280.46893310546875,281.0113677978516,2.572601079940796,279.56111907958984,282.1171264648437,-1.0297507,0.726891,272.99591064453125,286.0423278808594,279.9505920410156,280.3189392089844,2.713786363601685,278.47637939453125,281.7909698486328,-0.5227481,0.12716538,277.84051513671875,288.703125,283.4739990234375,283.2678680419922,2.419649839401245,281.7640991210937,285.06568908691406,0.19750395,-0.50107694,281.5404052734375,297.6542663574219,287.44171142578125,286.9186706542969,3.397782802581787,284.67122650146484,289.3197555541992,0.7310836,0.22343808,274.4458312988281,283.0932006835937,279.1982727050781,279.1487121582031,1.8710076808929443,278.0853271484375,280.5372543334961,-0.1644921,-0.20383681,278.7558288574219,285.7665405273437,282.9832458496094,283.07884216308594,1.6177290678024292,281.87100982666016,284.3135299682617,-0.43635687,-0.4131765,284.8114624023437,293.392822265625,288.78143310546875,288.57391357421875,2.2731833457946777,286.87439727783203,290.2135009765625,0.41042045,-0.8431891,93179.9375,98406.5,96099.203125,96381.0,1589.171875,95237.828125,97186.109375,-0.5243443,-0.9390992,93339.640625,98542.203125,96253.4921875,96543.265625,1595.2388916015625,95394.80078125,97334.37109375,-0.5257587,-0.9373394,93434.4375,98727.0625,96396.8203125,96715.125,1604.8641357421875,95522.84375,97507.40625,-0.5255509,-0.92858166,0.3057098388671875,0.465667724609375,0.3828523755073547,0.3830795288085937,0.0351628847420215,0.362396240234375,0.4046783447265625,-0.1427306,-0.30190042,0.30914306640625,0.4729118347167969,0.3879294097423553,0.3879890441894531,0.036182016134262,0.3662424087524414,0.4106988906860351,-0.07618071,-0.37413287,0.3125457763671875,0.4776458740234375,0.3930113911628723,0.392791748046875,0.0368401035666465,0.3697471618652344,0.4182243347167969,0.009171731,-0.42809936
1999-08-01,268.2205810546875,282.9522705078125,278.3536071777344,278.9647521972656,3.201211214065552,276.67539978027344,280.7860565185547,-1.0269495,0.9525834,275.1981811523437,283.6801147460937,280.65167236328125,281.0906677246094,1.834818720817566,279.69385528564453,281.92578125,-0.88350713,0.4175082,276.91650390625,285.5111083984375,282.40887451171875,282.7025146484375,1.7663795948028564,281.63653564453125,283.39359283447266,-0.79400706,0.6112138,274.3471069335937,286.703857421875,282.3347473144531,282.62530517578125,1.94630777835846,281.61495208740234,283.41864013671875,-1.5066056,4.1250067,280.71563720703125,290.1020202636719,285.4125061035156,285.27549743652344,1.687860369682312,284.4367370605469,286.3025207519531,0.24066731,0.72403234,281.4664611816406,295.2020568847656,288.7186889648437,288.49693298339844,2.749697208404541,286.9549865722656,290.4215393066406,0.22436652,0.068589926,277.8035888671875,285.0307006835937,282.14532470703125,282.40672302246094,1.631208062171936,281.1256561279297,283.3965072631836,-0.59615904,-0.37017876,283.1256103515625,287.6921081542969,285.7764587402344,285.9291076660156,1.0505446195602417,285.1026840209961,286.5181121826172,-0.43970382,-0.44573578,283.8733215332031,294.37908935546875,291.0007629394531,291.2617950439453,2.2059309482574463,290.0608825683594,292.5392074584961,-1.0744418,1.1173553,93173.4375,98432.6875,95955.890625,96240.28125,1583.39794921875,95209.046875,97215.125,-0.5156439,-0.9256843,93217.65625,98529.109375,96131.6015625,96412.296875,1589.6024169921875,95308.89453125,97299.43359375,-0.5182785,-0.92423016,93265.5,98732.4375,96296.796875,96589.0,1601.8167724609375,95414.265625,97469.296875,-0.51706576,-0.9143388,0.296478271484375,0.4740447998046875,0.3809539973735809,0.3782501220703125,0.0495644398033618,0.3378524780273437,0.4224662780761719,0.07574189,-1.1900061,0.2980003356933594,0.4942626953125,0.3901593089103699,0.3838863372802734,0.0525739528238773,0.3472623825073242,0.435586929321289,0.18751682,-1.153205,0.300048828125,0.5080108642578125,0.4016200602054596,0.3975830078125,0.0572554543614387,0.3535919189453125,0.4473762512207031,0.14622933,-1.161069
1999-09-01,271.67724609375,285.1470947265625,279.5221252441406,280.3819274902344,3.1348326206207275,276.9465026855469,281.75804901123047,-0.48421836,-0.41614106,275.89453125,285.9441833496094,281.5953063964844,281.901611328125,2.508268117904663,279.7796936035156,283.36944580078125,-0.3064444,-0.61657226,277.1197814941406,288.1517333984375,283.3800354003906,283.0004577636719,2.607871055603028,282.0272216796875,285.1862487792969,-0.059136752,-0.38005915,277.08087158203125,285.993408203125,282.5682983398437,283.0892333984375,2.261017322540283,280.65038299560547,284.5057907104492,-0.46987462,-0.70423675,279.482177734375,290.42254638671875,285.6730651855469,285.56773376464844,2.3580410480499268,284.2085418701172,287.22607421875,-0.06559953,-0.37396824,280.3480224609375,295.9967956542969,288.8020324707031,288.3484802246094,3.1307692527771,286.4630813598633,290.76026153564453,0.16113752,-0.17715248,278.3119201660156,287.6879272460937,282.7395935058594,282.5426177978516,2.5141706466674805,280.5503158569336,284.9698715209961,0.18565072,-1.0428317,281.756103515625,290.6128845214844,286.7136535644531,286.5421447753906,2.411669969558716,284.5215301513672,289.0344543457031,0.059380732,-1.2964742,284.1888122558594,297.09423828125,291.4962158203125,291.62164306640625,3.4424731731414795,288.75,294.2570877075196,-0.32810757,-0.9779496,93251.8125,98313.3125,95975.40625,96285.71875,1580.08984375,95295.953125,97165.359375,-0.5265109,-0.938514,93417.140625,98448.203125,96117.125,96456.9453125,1578.95849609375,95429.72265625,97280.91015625,-0.5279454,-0.9483025,93478.125,98627.375,96268.4765625,96583.71875,1586.5252685546875,95508.71875,97429.15625,-0.5235826,-0.9425789,0.3174896240234375,0.4944305419921875,0.4084660708904266,0.4198989868164062,0.0478670448064804,0.3686141967773437,0.4484138488769531,-0.2964039,-1.1562167,0.3236656188964844,0.5034027099609375,0.4174618721008301,0.4288177490234375,0.0508269630372524,0.3722848892211914,0.4610052108764648,-0.27276656,-1.2818294,0.329620361328125,0.5200042724609375,0.4274948239326477,0.4359664916992187,0.0560029223561286,0.3772315979003906,0.4708442687988281,-0.065253876,-1.2624277
1999-10-01,277.244873046875,285.9320983886719,282.5061340332031,282.3070373535156,1.7665032148361206,281.15840911865234,283.65855407714844,-0.025253762,-0.18869404,280.6459045410156,287.0932922363281,283.6618957519531,283.8675231933594,1.5772610902786257,282.252685546875,284.73143005371094,0.15862435,-0.9218545,281.67919921875,287.94952392578125,284.6204528808594,284.73670959472656,1.6208101511001587,283.2216796875,285.8257751464844,0.10830312,-0.9922113,281.1287841796875,287.3627319335937,284.265625,284.26063537597656,1.5457879304885864,283.0871276855469,285.1458206176758,0.3374531,-0.60842896,283.7165832519531,291.3910522460937,287.43670654296875,287.3063507080078,1.833216547966004,286.0840835571289,288.80091094970703,0.05139141,-0.8236374,284.78643798828125,296.0095520019531,290.55572509765625,290.60418701171875,2.556302785873413,289.0280456542969,292.5253295898437,-0.14750537,-0.572435,281.36083984375,290.2945556640625,285.62506103515625,285.3882141113281,2.0051910877227783,284.02540588378906,286.9392395019531,0.38789713,-0.32002434,286.6993408203125,295.3525695800781,290.73797607421875,290.20545959472656,2.11755895614624,289.1197280883789,292.3025894165039,0.29111773,-0.8662285,288.7787780761719,303.2638244628906,296.58917236328125,296.5924072265625,3.530993938446045,294.2064514160156,298.8407592773437,-0.22128047,-0.55024844,93013.9375,98114.8125,95897.7734375,96187.375,1570.7401123046875,95057.03125,96934.34375,-0.53137517,-0.9525751,93104.625,98235.484375,96031.015625,96362.765625,1569.994873046875,95125.21484375,97049.20703125,-0.528908,-0.95601225,93190.0625,98496.1875,96154.90625,96471.65625,1577.3707275390625,95266.84375,97268.40625,-0.52586925,-0.9476031,0.197418212890625,0.4263153076171875,0.2936892211437225,0.2868804931640625,0.0622135512530803,0.2317543029785156,0.347320556640625,0.3090329,-1.0893433,0.1990737915039062,0.4524269104003906,0.3009770810604095,0.2903251647949219,0.0672235190868377,0.2341289520263672,0.3620414733886719,0.3322318,-1.0600215,0.2007598876953125,0.48297119140625,0.3068151175975799,0.2937164306640625,0.0717873573303222,0.2377738952636718,0.3651809692382812,0.43035248,-0.8688233
